no,slug,name,prefecture,region,lat,lng,castleType,radiusM
101,shinori,志苔館,北海道,北海道,41.765778,140.822147,平城,750
102,kaminokuni_katsuyama,上ノ国勝山館,北海道,北海道,41.800000,140.098611,山城,2000
103,namioka,浪岡城,青森県,東北,40.718131,140.604406,平城,750
104,kunohe,九戸城,岩手県,東北,40.267583,141.303400,平山城,1000
105,shiroishi,白石城,宮城県,東北,38.002589,140.617128,平山城,1000
106,wakimoto,脇本城,秋田県,東北,39.901836,139.888732,山城,1500
107,akita,秋田城,秋田県,東北,39.740359,140.079675,古代城柵,2000
108,tsurugaoka,鶴ヶ岡城,山形県,東北,38.728145,139.824950,平城,750
109,yonezawa,米沢城,山形県,東北,37.909274,140.105056,平城,750
110,miharu,三春城,福島県,東北,37.442553,140.496402,山城,1500
111,mukaihaguroyama,向羽黒山城,福島県,東北,37.442931,139.901746,山城,2000
112,kasama,笠間城,茨城県,関東,36.384283,140.259875,山城,1500
113,tsuchiura,土浦城,茨城県,関東,36.085103,140.198147,平城,750
114,karasawayama,唐沢山城,栃木県,関東,36.354304,139.598131,山城,1500
115,nagurumi,名胡桃城,群馬県,関東,36.669599,138.991540,山城,1500
116,numata,沼田城,群馬県,関東,36.648477,139.040046,平山城,1000
117,iwabitsu,岩櫃城,群馬県,関東,36.565800,138.824400,山城,2000
118,oshi,忍城,埼玉県,関東,36.137150,139.452878,平城,750
119,sugiyama,杉山城,埼玉県,関東,36.061870,139.312780,山城,1500
120,sugaya,菅谷館,埼玉県,関東,36.035070,139.322740,平城,750
121,motosakura,本佐倉城,千葉県,関東,35.728249,140.259111,平山城,1000
122,otaki,大多喜城,千葉県,関東,35.285885,140.239408,平山城,1000
123,takiyama,滝山城,東京都,関東,35.701961,139.328292,平山城,1000
124,shinagawa_daiba,品川台場,東京都,関東,35.629990,139.775450,台場,1200
125,kozuku,小机城,神奈川県,関東,35.508610,139.599070,平山城,1000
126,ishigakiyama,石垣山城,神奈川県,関東,35.235396,139.128589,山城,2000
127,shinpu,新府城,山梨県,甲信越,35.735151,138.425240,平山城,1000
128,yogaizan,要害山城,山梨県,甲信越,35.703075,138.598345,山城,2000
129,tatsuoka,龍岡城,長野県,甲信越,36.196150,138.501650,平城,750
130,takashima,高島城,長野県,甲信越,36.039800,138.111980,平城,750
131,murakami,村上城,新潟県,甲信越,38.220293,139.485544,平山城,1000
132,takada,高田城,新潟県,甲信越,37.109850,138.255930,平城,750
133,samegao,鮫ヶ尾城,新潟県,甲信越,37.051111,138.230000,山城,1500
134,toyama,富山城,富山県,北陸,36.692790,137.211500,平城,750
135,masuyama,増山城,富山県,北陸,36.652147,137.041767,山城,2000
136,torigoe,鳥越城,石川県,北陸,36.366501,136.601368,山城,1500
